,mean,min,max,No. of invalid
Temp (F),47.873268070275095,-9.0,97.0,46.0
Dewpt (F),38.252475173286676,-18.0,79.0,46.0
Wind Spd (mph),8.512536562211203,0.0,39.0,27.0
Wind Direction (deg),175.3963924768941,0.0,360.0,58.0
Peak Wind Gust(mph),25.612581811780895,16.0,49.0,697.0
Atm Press (hPa),nan,nan,nan,710.0
Sea Lev Press (hPa),1016.8345903591097,989.9,1040.9,24.0
Precip (in),0.05431547619047618,0.0,0.28,708.0
