#year,Superior,,Michigan,,Huron,,Erie,,Ontario,,Basin,,year
#,date,% cover,date,% cover,date,% cover,date,% cover,date,% cover,date,% cover,
1973,27-Feb,69.8,27-Feb,33,26-Feb,66.7,27-Feb,95.7,20-Feb,62.6,27-Feb,62.1,1973
1974,28-Feb,73.6,21-Feb,39.4,27-Feb,61.4,21-Feb,88.5,10-Jan,24.5,21-Feb,60.4,1974
1975,13-Feb,64.9,14-Feb,22.7,13-Feb,55.1,13-Feb,80.1,13-Feb,14.9,13-Feb,51.4,1975
1976,13-Feb,31.3,3-Feb,29.5,28-Jan,52.5,8-Feb,95.4,3-Feb,15.2,3-Feb,43.2,1976
1977,16-Feb,96,9-Feb,93.1,9-Feb,95,8-Feb,99.8,17-Feb,46.7,9-Feb,90.1,1977
1978,1-Mar,92.5,22-Feb,66.6,1-Mar,95.8,8-Feb,100,15-Feb,57.7,1-Mar,83.5,1978
1979,26-Feb,97.1,25-Feb,92.3,19-Feb,96.4,12-Feb,100,19-Feb,86.2,19-Feb,94.7,1979
1980,5-Mar,77.2,20-Feb,38.6,5-Mar,70.3,5-Mar,93.4,13-Feb,30.6,5-Mar,65.9,1980
1981,11-Feb,84.7,11-Feb,47.6,4-Feb,93.8,4-Feb,96,7-Jan,47.6,11-Feb,72.5,1981
1982,9-Mar,85.3,9-Feb,60.2,9-Mar,93.3,15-Feb,99.1,25-Jan,50.7,9-Mar,75.6,1982
1983,8-Feb,20.2,8-Feb,23.6,1-Feb,31.8,14-Feb,40.8,8-Feb,12.5,14-Feb,25.5,1983
1984,7-Mar,88.2,8-Feb,43.3,14-Mar,77.6,1-Feb,93.6,18-Jan,40.7,15-Mar,66.7,1984
1985,2-Mar,81.9,23-Feb,41.3,23-Feb,87.4,9-Feb,96,9-Feb,38.2,23-Feb,71,1985
1986,22-Feb,90.7,23-Feb,66.8,23-Feb,73.5,18-Jan,95,28-Feb,43.7,22-Feb,77.1,1986
1987,25-Jan,14.5,20-Feb,19.3,15-Feb,43.5,14-Feb,88,14-Feb,8.4,14-Feb,30.7,1987
1988,15-Feb,67.3,7-Feb,32.7,6-Mar,60.1,7-Feb,91.5,10-Jan,21.1,21-Feb,55.5,1988
1989,8-Mar,82.3,19-Mar,30.9,19-Mar,76.3,17-Feb,91.6,13-Mar,15.5,8-Mar,62.3,1989
1990,5-Mar,78.1,7-Mar,30.5,7-Mar,73.8,9-Mar,72.8,28-Feb,29.5,7-Mar,65.1,1990
1991,4-Mar,89.6,30-Jan,21.5,1-Feb,43.8,1-Feb,35.1,2-Feb,11.6,27-Feb,46,1991
1992,23-Mar,73.3,3-Feb,32.8,23-Mar,69.9,16-Feb,89.8,16-Mar,17.5,23-Feb,38,1992
1993,1-Mar,77.2,28-Feb,32.2,28-Feb,78.3,24-Feb,94.3,1-Mar,28.8,1-Mar,67.4,1993
1994,9-Feb,96.1,14-Feb,82.7,2-Mar,96.9,9-Feb,96.7,11-Feb,55.7,14-Feb,89,1994
1995,3-Mar,28.8,13-Feb,21.6,5-Mar,41.7,14-Feb,93.5,13-Feb,18.8,10-Mar,41.7,1995
1996,8-Mar,100,6-Feb,71.2,8-Mar,98.2,5-Feb,100,16-Feb,45.1,8-Mar,81,1996
1997,5-Mar,79.3,5-Feb,37.8,23-Feb,65.3,2-Feb,99.6,23-Feb,25.6,18-Feb,57.7,1997
1998,3-Feb,9.3,6-Feb,15.1,6-Feb,28.6,23-Jan,5.4,13-Feb,5.7,6-Feb,14.3,1998
1999,23-Feb,18.3,14-Jan,20.3,23-Feb,34.6,15-Jan,74.8,9-Mar,17.9,15-Jan,23.3,1999
2000,18-Feb,33.5,28-Jan,27.2,18-Feb,42,1-Feb,90.7,1-Feb,22.3,18-Feb,34.4,2000
2001,1-Mar,46.2,22-Feb,29.5,19-Feb,45.7,1-Feb,92.5,15-Feb,17.9,8-Mar,31.6,2001
2002,18-Mar,10.3,7-Mar,12.4,4-Mar,26.1,3-Jan,14.4,10-Jan,4,7-Mar,11.9,2002
2003,4-Mar,95.5,10-Mar,48,8-Mar,96.2,27-Jan,95.7,27-Feb,49.6,3-Mar,80.2,2003
2004,19-Feb,52.2,5-Feb,36.4,19-Feb,64.5,2-Feb,95.4,29-Jan,38.5,19-Feb,51.9,2004
2005,17-Mar,54.5,24-Jan,29.4,9-Mar,58.9,7-Feb,93,31-Jan,37.8,17-Mar,44.2,2005
2006,2-Mar,17.6,20-Feb,16.2,2-Mar,32.2,2-Mar,21.9,2-Mar,14.3,2-Mar,21.5,2006
2007,8-Mar,52.7,8-Mar,37.2,8-Mar,71.4,19-Feb,95.8,8-Mar,23.8,8-Mar,56.2,2007
2008,10-Mar,63.7,21-Feb,33.5,17-Mar,59.5,10-Mar,93.4,10-Mar,14,10-Mar,54.7,2008
2009,2-Mar,93.7,29-Jan,52.3,2-Mar,85.1,2-Mar,95,6-Feb,22.2,2-Mar,74.5,2009
2010,22-Feb,29,8-Feb,23.5,18-Feb,37,8-Feb,93.1,9-Feb,12.4,8-Feb,29.2,2010
2011,2-Apr,33.6,11-Feb,29.4,24-Feb,63.8,8-Feb,94.1,2-Feb,24.9,12-Feb,40.1,2011
2012,26-Jan,8.5,21-Jan,16.7,22-Jan,22.8,21-Jan,13.9,17-Feb,1.9,22-Jan,12.9,2012
2013,3-Mar,33.6,18-Feb,24.4,18-Feb,47.8,22-Feb,83.7,23-Feb,15.6,18-Feb,38.4,2013
2014,5-Mar,95.8,8-Mar,93.1,5-Mar,96.1,6-Mar,96.1,6-Mar,60.8,6-Mar,92.5,2014
2015,28-Feb,95.7,27-Feb,72.9,28-Feb,96.3,4-Mar,96.1,18-Feb,82.4,28-Feb,88.8,2015
2016,14-Feb,22.7,14-Feb,26.8,14-Feb,48,15-Feb,78.7,14-Feb,23.5,14-Feb,33.8,2016
2017,14-Mar,18.2,13-Mar,16.7,14-Mar,35.4,8-Feb,35.5,16-Mar,5.6,14-Mar,19.4,2017
2018,11-Feb,77.2,11-Feb,51.3,11-Feb,81.4,9-Feb,95.1,17-Jan,24.7,11-Feb,69,2018
2019,08-Mar,94.9,08-Mar,55.8,09-Mar,95.7,02-Mar,94.3,01-Mar,39.8,09-Mar,80.9,2019 
